Organization,Raw Grade Code,Normalized Grade Family,Normalized Seniority Tier,International / National / Local,Staff / Consultant / Contractor / Other,Approximate UN Equivalent,Approximate Experience Range,Typical Role Scope,Supervisory Expectations,Notes / Caveats,Confidence Level,Evidence Type
UNOPS,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
UNOPS,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
UNOPS,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
UNOPS,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
UNOPS,P-5,UN International Professional,T5_PRINCIPAL_MANAGER,International,Staff,P-5,10-15 years,Chief/principal specialist/section head,Frequently supervises teams and budgets,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
UNOPS,D-1,UN Director,T6_DIRECTOR,International,Staff,D-1,15+ years,Director of division/large programme,Senior management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
UNOPS,D-2,UN Director,T6_DIRECTOR,International,Staff,D-2,15-20+ years,Senior director / head of major office,Institutional management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
UNOPS,NO-A,UN National Professional,T1_ENTRY_SUPPORT,National / Local,Staff,~P-1/P-2,0-2 years,Entry national professional requiring local/national expertise,Normally none,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
UNOPS,NO-B,UN National Professional,T2_JUNIOR_PROFESSIONAL,National / Local,Staff,~P-2,2-4 years,National officer / junior professional,May coordinate local partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
UNOPS,NO-C,UN National Professional,T3_MID_PROFESSIONAL,National / Local,Staff,~P-3,5-7 years,Experienced national professional managing workstreams,May supervise assistants/consultants,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
UNOPS,NO-D,UN National Professional,T4_SENIOR_PROFESSIONAL,National / Local,Staff,~P-4,7-10+ years,Senior national officer / technical lead,Often supervises staff/partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
UNOPS,G-1,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-1,0+ years,Routine support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
UNOPS,G-2,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-2,2+ years,Basic clerical/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
UNOPS,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
UNOPS,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
UNOPS,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
UNOPS,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
UNOPS,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
UNOPS,FS-1,UN Field Service,T1_ENTRY_SUPPORT,International / Field,Staff,FS-1,varies,Field service support,None/limited,Field Service is internationally recruited field support; not a Professional-grade substitute.,HIGH,official common-system
UNOPS,FS-2,UN Field Service,T1_ENTRY_SUPPORT,International / Field,Staff,FS-2,varies,Field service support,None/limited,Field Service is internationally recruited field support; not a Professional-grade substitute.,HIGH,official common-system
UNOPS,FS-3,UN Field Service,T2_JUNIOR_PROFESSIONAL,International / Field,Staff,FS-3,varies,Field technical/administrative support,Limited,Field Service is internationally recruited field support; not a Professional-grade substitute.,HIGH,official common-system
UNOPS,FS-4,UN Field Service,T3_MID_PROFESSIONAL,International / Field,Staff,FS-4,varies,Experienced field technical/specialized support,May supervise,Field Service is internationally recruited field support; not a Professional-grade substitute.,HIGH,official common-system
UNOPS,FS-5,UN Field Service,T3_MID_PROFESSIONAL,International / Field,Staff,FS-5,varies,Senior field support/specialist,Often supervises,Field Service is internationally recruited field support; not a Professional-grade substitute.,HIGH,official common-system
UNOPS,FS-6,UN Field Service,T4_SENIOR_PROFESSIONAL,International / Field,Staff,FS-6,varies,Senior field specialist/team leader,Supervisory,Field Service is internationally recruited field support; not a Professional-grade substitute.,HIGH,official common-system
UNOPS,FS-7,UN Field Service,T4_SENIOR_PROFESSIONAL,International / Field,Staff,FS-7,varies,Highest field service specialist/managerial support,Supervisory,Field Service is internationally recruited field support; not a Professional-grade substitute.,HIGH,official common-system
Food and Agriculture Organization,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Food and Agriculture Organization,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Food and Agriculture Organization,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Food and Agriculture Organization,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Food and Agriculture Organization,P-5,UN International Professional,T5_PRINCIPAL_MANAGER,International,Staff,P-5,10-15 years,Chief/principal specialist/section head,Frequently supervises teams and budgets,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Food and Agriculture Organization,D-1,UN Director,T6_DIRECTOR,International,Staff,D-1,15+ years,Director of division/large programme,Senior management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Food and Agriculture Organization,D-2,UN Director,T6_DIRECTOR,International,Staff,D-2,15-20+ years,Senior director / head of major office,Institutional management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Food and Agriculture Organization,NO-A,UN National Professional,T1_ENTRY_SUPPORT,National / Local,Staff,~P-1/P-2,0-2 years,Entry national professional requiring local/national expertise,Normally none,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
Food and Agriculture Organization,NO-B,UN National Professional,T2_JUNIOR_PROFESSIONAL,National / Local,Staff,~P-2,2-4 years,National officer / junior professional,May coordinate local partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
Food and Agriculture Organization,NO-C,UN National Professional,T3_MID_PROFESSIONAL,National / Local,Staff,~P-3,5-7 years,Experienced national professional managing workstreams,May supervise assistants/consultants,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
Food and Agriculture Organization,NO-D,UN National Professional,T4_SENIOR_PROFESSIONAL,National / Local,Staff,~P-4,7-10+ years,Senior national officer / technical lead,Often supervises staff/partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
Food and Agriculture Organization,G-1,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-1,0+ years,Routine support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Food and Agriculture Organization,G-2,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-2,2+ years,Basic clerical/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Food and Agriculture Organization,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Food and Agriculture Organization,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Food and Agriculture Organization,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Food and Agriculture Organization,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Food and Agriculture Organization,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
World Health Organization,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
World Health Organization,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
World Health Organization,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
World Health Organization,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
World Health Organization,P-5,UN International Professional,T5_PRINCIPAL_MANAGER,International,Staff,P-5,10-15 years,Chief/principal specialist/section head,Frequently supervises teams and budgets,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
World Health Organization,D-1,UN Director,T6_DIRECTOR,International,Staff,D-1,15+ years,Director of division/large programme,Senior management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
World Health Organization,D-2,UN Director,T6_DIRECTOR,International,Staff,D-2,15-20+ years,Senior director / head of major office,Institutional management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
World Health Organization,NO-A,UN National Professional,T1_ENTRY_SUPPORT,National / Local,Staff,~P-1/P-2,0-2 years,Entry national professional requiring local/national expertise,Normally none,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
World Health Organization,NO-B,UN National Professional,T2_JUNIOR_PROFESSIONAL,National / Local,Staff,~P-2,2-4 years,National officer / junior professional,May coordinate local partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
World Health Organization,NO-C,UN National Professional,T3_MID_PROFESSIONAL,National / Local,Staff,~P-3,5-7 years,Experienced national professional managing workstreams,May supervise assistants/consultants,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
World Health Organization,NO-D,UN National Professional,T4_SENIOR_PROFESSIONAL,National / Local,Staff,~P-4,7-10+ years,Senior national officer / technical lead,Often supervises staff/partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
World Health Organization,G-1,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-1,0+ years,Routine support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
World Health Organization,G-2,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-2,2+ years,Basic clerical/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
World Health Organization,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
World Health Organization,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
World Health Organization,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
World Health Organization,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
World Health Organization,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Pan American Health Organization,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Pan American Health Organization,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Pan American Health Organization,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Pan American Health Organization,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Pan American Health Organization,P-5,UN International Professional,T5_PRINCIPAL_MANAGER,International,Staff,P-5,10-15 years,Chief/principal specialist/section head,Frequently supervises teams and budgets,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Pan American Health Organization,D-1,UN Director,T6_DIRECTOR,International,Staff,D-1,15+ years,Director of division/large programme,Senior management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Pan American Health Organization,D-2,UN Director,T6_DIRECTOR,International,Staff,D-2,15-20+ years,Senior director / head of major office,Institutional management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
Pan American Health Organization,NO-A,UN National Professional,T1_ENTRY_SUPPORT,National / Local,Staff,~P-1/P-2,0-2 years,Entry national professional requiring local/national expertise,Normally none,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
Pan American Health Organization,NO-B,UN National Professional,T2_JUNIOR_PROFESSIONAL,National / Local,Staff,~P-2,2-4 years,National officer / junior professional,May coordinate local partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
Pan American Health Organization,NO-C,UN National Professional,T3_MID_PROFESSIONAL,National / Local,Staff,~P-3,5-7 years,Experienced national professional managing workstreams,May supervise assistants/consultants,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
Pan American Health Organization,NO-D,UN National Professional,T4_SENIOR_PROFESSIONAL,National / Local,Staff,~P-4,7-10+ years,Senior national officer / technical lead,Often supervises staff/partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
Pan American Health Organization,G-1,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-1,0+ years,Routine support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Pan American Health Organization,G-2,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-2,2+ years,Basic clerical/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Pan American Health Organization,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Pan American Health Organization,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Pan American Health Organization,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Pan American Health Organization,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
Pan American Health Organization,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Atomic Energy Agency,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Atomic Energy Agency,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Atomic Energy Agency,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Atomic Energy Agency,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Atomic Energy Agency,P-5,UN International Professional,T5_PRINCIPAL_MANAGER,International,Staff,P-5,10-15 years,Chief/principal specialist/section head,Frequently supervises teams and budgets,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Atomic Energy Agency,D-1,UN Director,T6_DIRECTOR,International,Staff,D-1,15+ years,Director of division/large programme,Senior management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Atomic Energy Agency,D-2,UN Director,T6_DIRECTOR,International,Staff,D-2,15-20+ years,Senior director / head of major office,Institutional management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Atomic Energy Agency,NO-A,UN National Professional,T1_ENTRY_SUPPORT,National / Local,Staff,~P-1/P-2,0-2 years,Entry national professional requiring local/national expertise,Normally none,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
International Atomic Energy Agency,NO-B,UN National Professional,T2_JUNIOR_PROFESSIONAL,National / Local,Staff,~P-2,2-4 years,National officer / junior professional,May coordinate local partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
International Atomic Energy Agency,NO-C,UN National Professional,T3_MID_PROFESSIONAL,National / Local,Staff,~P-3,5-7 years,Experienced national professional managing workstreams,May supervise assistants/consultants,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
International Atomic Energy Agency,NO-D,UN National Professional,T4_SENIOR_PROFESSIONAL,National / Local,Staff,~P-4,7-10+ years,Senior national officer / technical lead,Often supervises staff/partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",HIGH,official common-system / inferred P-equivalence
International Atomic Energy Agency,G-1,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-1,0+ years,Routine support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Atomic Energy Agency,G-2,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-2,2+ years,Basic clerical/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Atomic Energy Agency,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Atomic Energy Agency,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Atomic Energy Agency,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Atomic Energy Agency,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Atomic Energy Agency,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,HIGH,official common-system / same-category mapping
International Civil Aviation Organization,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Civil Aviation Organization,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Civil Aviation Organization,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
International Civil Aviation Organization,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
